LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,DataOwner,DataManager,SiteLink,SpeciesCode,SpeciesDescription,DateMeasurementStarted,DateMeasurementFinished
27,Richmond,RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,,2001/3/29 10:00,51.476168,-0.230427,6705958.504,-25651.01631,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RI2,NO2,Nitrogen Dioxide,2008/1/1 0:00,
27,Richmond,RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,,2001/3/29 10:00,51.476168,-0.230427,6705958.504,-25651.01631,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RI2,O3,Ozone,2002/7/1 0:00,
27,Richmond,RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,,2001/3/29 10:00,51.476168,-0.230427,6705958.504,-25651.01631,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RI2,PM10,PM10 Particulate,2001/3/29 10:00,
27,Richmond,RI1,Richmond Upon Thames - Castelnau,Roadside,,2000/6/14 0:15,51.480189,-0.237335,6706677.205,-26420.01135,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RI1,NO2,Nitrogen Dioxide,2008/1/1 0:00,
27,Richmond,RI1,Richmond Upon Thames - Castelnau,Roadside,,2000/6/14 0:15,51.480189,-0.237335,6706677.205,-26420.01135,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RI1,PM10,PM10 Particulate,2000/6/14 0:15,
27,Richmond,RHG,Richmond Upon Thames - Chertsey Road,Roadside,2020/8/6 0:00,2016/5/24 0:00,51.45314225,-0.341218138,6701844.177,-37984.22938,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RHG,NO2,Nitrogen Dioxide,2016/5/24 11:15,2020/8/6 0:00
27,Richmond,RHG,Richmond Upon Thames - Chertsey Road,Roadside,2020/8/6 0:00,2016/5/24 0:00,51.45314225,-0.341218138,6701844.177,-37984.22938,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=RHG,PM10,PM10 Particulate,2016/5/24 0:00,2020/8/6 0:00
28,Southwark,SK5,Southwark - A2 Old Kent Road,Roadside,,2010/11/24 0:00,51.48049949,-0.059552893,6706732.704,-6629.397753,Southwark,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=SK5,NO2,Nitrogen Dioxide,2010/11/24 0:00,
28,Southwark,SK5,Southwark - A2 Old Kent Road,Roadside,,2010/11/24 0:00,51.48049949,-0.059552893,6706732.704,-6629.397753,Southwark,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=SK5,PM10,PM10 Particulate,2010/11/15 0:00,
28,Southwark,SK9,Southwark - A2 Old Kent Road FIDAS,Roadside,,2010/11/24 0:00,51.48049949,-0.059552893,6706732.704,-6629.397753,Southwark,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=SK9,PM10,PM10 Particulate,2020/9/3 0:00,
